Name,Price,Link
Samsung Galaxy S25 5G,"KSh72,000–KSh81,000Price range: KSh 72,000 through KSh 81,000",https://www.phoneplacekenya.com/product/samsung-galaxy-s25-5g/
Samsung Galaxy S25 Plus,"KSh95,000Original price was: KSh 95,000.KSh91,000Current price is: KSh 91,000.",https://www.phoneplacekenya.com/product/samsung-galaxy-s25-plus/
Samsung Galaxy S25 Ultra,"KSh113,000–KSh172,000Price range: KSh 113,000 through KSh 172,000",https://www.phoneplacekenya.com/product/samsung-galaxy-s25-ultra/
Samsung Galaxy S25 FE 5G,"KSh71,500Original price was: KSh 71,500.KSh67,000Current price is: KSh 67,000.",https://www.phoneplacekenya.com/product/samsung-galaxy-s25-fe-5g/
Nothing Phone 2a Plus,"KSh51,000Original price was: KSh 51,000.KSh44,000Current price is: KSh 44,000.",https://www.phoneplacekenya.com/product/nothing-phone-2a-plus/
Redmi Note 14 Pro Plus 5G,"KSh47,500–KSh59,500Price range: KSh 47,500 through KSh 59,500",https://www.phoneplacekenya.com/product/redmi-note-14-pro-plus-5g/
Samsung Galaxy A16 4G,"KSh19,500Original price was: KSh 19,500.KSh18,500Current price is: KSh 18,500.",https://www.phoneplacekenya.com/product/samsung-galaxy-a16-4g/
OnePlus 13R,"KSh61,500–KSh66,500Price range: KSh 61,500 through KSh 66,500",https://www.phoneplacekenya.com/product/oneplus-13r/
Philips Omni 10,"KSh20,000Original price was: KSh 20,000.KSh18,000Current price is: KSh 18,000.",https://www.phoneplacekenya.com/product/philips-omni-10-s7710/
Infinix Zero Flip 5G,"KSh48,000Original price was: KSh 48,000.KSh47,000Current price is: KSh 47,000.",https://www.phoneplacekenya.com/product/infinix-zero-flip-5g/
Realme 12 Plus 5G,"KSh55,000Original price was: KSh 55,000.KSh46,000Current price is: KSh 46,000.",https://www.phoneplacekenya.com/product/realme-12-plus-5g/
Realme 12 Pro 5G,"KSh55,000Original price was: KSh 55,000.KSh52,000Current price is: KSh 52,000.",https://www.phoneplacekenya.com/product/realme-12-5g-pro-5g/
Tecno Phantom V Fold 2,"KSh128,500Original price was: KSh 128,500.KSh120,000Current price is: KSh 120,000.",https://www.phoneplacekenya.com/product/tecno-phantom-v-fold-2/
Tecno Phantom V Flip 2,"KSh84,000Original price was: KSh 84,000.KSh76,000Current price is: KSh 76,000.",https://www.phoneplacekenya.com/product/tecno-phantom-v-flip-2/
Apple iPhone 16,"KSh94,000–KSh104,000Price range: KSh 94,000 through KSh 104,000",https://www.phoneplacekenya.com/product/apple-iphone-16/
Apple iPhone 16 Plus,"KSh109,000–KSh118,000Price range: KSh 109,000 through KSh 118,000",https://www.phoneplacekenya.com/product/apple-iphone-16-plus/
Apple iPhone 16 Pro,"KSh153,000Original price was: KSh 153,000.KSh112,000Current price is: KSh 112,000.",https://www.phoneplacekenya.com/product/apple-iphone-16-pro/
iPhone 16 Pro Max,"KSh119,000–KSh151,000Price range: KSh 119,000 through KSh 151,000",https://www.phoneplacekenya.com/product/iphone-16-pro-max/
OnePlus 12 5G,"KSh82,500Original price was: KSh 82,500.KSh79,500Current price is: KSh 79,500.",https://www.phoneplacekenya.com/product/oneplus-12-5g/
Google Pixel 9 Pro XL,"KSh105,000Original price was: KSh 105,000.KSh103,000Current price is: KSh 103,000.",https://www.phoneplacekenya.com/product/google-pixel-9-pro-xl/
Google Pixel 9 Pro,"KSh86,500–KSh112,000Price range: KSh 86,500 through KSh 112,000",https://www.phoneplacekenya.com/product/google-pixel-9-pro/
Google Pixel 9,"KSh86,000Original price was: KSh 86,000.KSh73,000Current price is: KSh 73,000.",https://www.phoneplacekenya.com/product/google-pixel-9/
OnePlus 13 5G,"KSh95,500Original price was: KSh 95,500.KSh91,500Current price is: KSh 91,500.",https://www.phoneplacekenya.com/product/oneplus-13-5g/
Samsung Galaxy A06,"KSh12,500",https://www.phoneplacekenya.com/product/samsung-galaxy-a06/
Samsung Galaxy Z Fold 6,"KSh137,000Original price was: KSh 137,000.KSh133,000Current price is: KSh 133,000.",https://www.phoneplacekenya.com/product/samsung-galaxy-z-fold-6/
